İzmir;(42. Yarış Günü);05/04/2026
1. Kosu :   17.45;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
9;KURUÇAY DB SKG SK;5y a k;SONALP;ERVAGÜL;50 +0.20;E.KORKMAZ AP;SUAT BAYBURAN;T.BİRİCİK;17;%4.38(8);33;1:37.91;19,20;
10;ÖZGÜNSULTAN KG DB SK ÖG;5y d k;ÖZGÜNHAN;ZEYNEP SULTAN;59;Ö.F.ÖZEN AP;CAN ERBAK;A.AYDOĞAN;7;%4.39(7);64;1:38.28;18,75;
11;SİLAHLIKIZ DB SK;6y k k;SİLAH;URLA SULTANI;53,5;S.AKŞIN AP;MELTEM AKTÜRK;M.KAYA;2;%0.9(18);55;1:38.35;69,45;
12;SULTAN NENE KG SK;6y k k;TURBO;ÖZDİLBER;60;M.KEÇECİ AP;H.TARIK DİKENCİK;M.ÖZGÜL;18;%3.47(10);66;1:38.78;17,35;
13;SEREN RÜZGARI DB;4y a k;YAKUPBEY;SERENKIZ;50 +1.80;E.D.ÖKTEN AP;HAKAN AKAN;B.GÜL;6;%1.75(16);37;1:39.47;36,25;
14;ATEŞ BAHAR KG DB;5y d k;ATEŞTOPU;HAKİKAT;55,5 +0.10;B.M.MIRIK;MUSTAFA İLKADIM;A.AYDOĞAN;11;%2.67(12);53;1:39.48;25,45;
15;DİLŞAHKAYA KG SK;4y k k;YÜREKKAYA;DJAFFA (FR);50 +1.90;İ.S.SÖĞÜT;REŞAT KAPLAN;A.ATAŞ;9;%2.16(13);36;1:39.84;40,80;
16;BAŞ SÜVARİ KG;5y d k;OYMAKBEYİ;COMOGÖLÜ;52,5 +0.10;O.ATMACA;YUNUS KÜLAHCIOĞLU;M.YAYAN;19;%1.78(14);47;1:39.86;29,05;
17;MEŞE PALAMUDU KG K;4y k k;ONURKAAN;BERLİN;50 +2.00;M.GÖL AP;TOLGA YURTSEVEN;N.GÖNÜLTAŞ;13;%0.61(19);34;1:40.20;68,30;
18;TOPUKLU EFEM KG DB;9y k k;KAIZBERT (RU);AYDINGÜZELİ;50 +1.40;E.KADİRLER AP;ŞEYMA B. SİNCER;A.ATAŞ;10;%1.77(15);35;1:40.35;26,65;
19;BEDİZ DE FAUST DB SKG SK;7y a k;SULTAN DE FAUST (FR);BEDİZİM;61,5;C.PASO;ALİ PASO;R.YILDIZ;15;%1.19(17);65;1:41.04;33,00;
GANYAN(5) :10,80 TL, 7'Lİ PLASE(1,3,4,5/2,7/2,5/1,5/1,2/2,6/5,6) :465,00 TL, 2. 6'LI GANYAN(7/5/5/1/6/5) :26.496,81 TL, 5'Lİ GANYAN(5/5/1/6/5) :3.579,37 TL, 4'LÜ GANYAN(5/1/6/5) :923,73 TL, 2. 3'LÜ GANYAN(1/6/5) :63,00 TL, İKİLİ(5/6) :31,25 TL, SIRALI İKİLİ(5/6) :83,90 TL, PLASE(5) :13,15 TL, PLASE(6) :7,65 TL, PLASE İKİLİ(5/14) :71,60 TL, PLASE İKİLİ(5/6) :21,30 TL, PLASE İKİLİ(6/14) :29,50 TL, SIRALI 5 Lİ BAHİS(5/6/14/8/7) :61.062,87 TL, TABELA BAHİS(5/6/14/8) :7.784,70 TL, TABELA BAHİS SIRASIZ(5/6/14/8) :132,30 TL, 7. ÇİFTE(6/5) :29,55 TL, 7'Lİ GANYAN(3,4,5/7/5/5/1/6/5) :94.377,70 TL

